line,p,logit,y,p_uncalibrated,p_platt,p_beta,p_isotonic
3,0.999883770942688,,1,0.999883770942688,0.7204087269419078,0.6475903330724897,0.6794304096579731
3,0.999999,,1,0.999999,0.720502282871954,0.7795954369439173,0.7623824451410658
3,0.9999538660049438,,1,0.9999538660049438,0.7204656402929658,0.6760564266310147,0.6976100364939718
3,0.9999958276748657,,1,0.9999958276748657,0.720499707477541,0.743952009369961,0.7433993399339934
3,0.9999927282333374,,1,0.9999927282333374,0.7204971912383286,0.7291108996606224,0.7404295051353875
3,0.9999960660934448,,1,0.9999960660934448,0.7204999010338291,0.7454923355455497,0.7433993399339934
3,0.9999978542327881,,1,0.9999978542327881,0.7205013527033756,0.7610014835252789,0.7440476190476191
3,0.9999966621398926,,1,0.9999966621398926,0.7205003849241908,0.7497610356063619,0.7433993399339934
3,0.999992847442627,,1,0.999992847442627,0.7204972880170163,0.7295602077029623,0.7404295051353875
3,0.9999988079071045,,1,0.9999988079071045,0.7205021269252465,0.7754099784436669,0.7623824451410658
